Domain,Email Platform
123stores.com,Other/Unknown Platform
6degree.co,Outlook (Microsoft 365)
aeroflexindia.com,Outlook (Microsoft 365)
akribiz.com,Gmail (Google Workspace)
amala.earth,Gmail (Google Workspace)
amala.earth.com,Domain Not Found or No Email Setup
anamikakhanna.in,Gmail (Google Workspace)
apgroup.in,Gmail (Google Workspace)
asianfootwears.com,Gmail (Google Workspace)
asterpharmacy.in,Other/Unknown Platform
avonispat.com,Other/Unknown Platform
bnenterprises.co.in,Gmail (Google Workspace)
basantoverseas.com,Gmail (Google Workspace)
studiobeej.com,Gmail (Google Workspace)
getbinks.com,Gmail (Google Workspace)
blive.co.in,Gmail (Google Workspace)
bliveevstore.com,Domain Not Found or No Email Setup
bloomingbuds.co.in,Other/Unknown Platform
bluekaktus.com,Outlook (Microsoft 365)
bonkerscorner.com,Gmail (Google Workspace)
bosq.in,Domain Not Found or No Email Setup
brandeyes.in,Other/Unknown Platform
brij.com,Gmail (Google Workspace)
gobuncha.com,Gmail (Google Workspace)
bbcollective.co,Outlook (Microsoft 365)
camp.in,Gmail (Google Workspace)
campussutra.com,Gmail (Google Workspace)
casadecor.co.in,Gmail (Google Workspace)
chogoriindia.com,Other/Unknown Platform
cineline.co.in,Outlook (Microsoft 365)
clensta.com,Gmail (Google Workspace)
clicflyer.comcorporateen,Domain Not Found or No Email Setup
clicflyer.com,Outlook (Microsoft 365)
clicktechretail.com,Outlook (Microsoft 365)
109f.com,Gmail (Google Workspace)
crepdogcrew.com,Gmail (Google Workspace)
dailyobjects.com,Gmail (Google Workspace)
dawaadost.com,Gmail (Google Workspace)
demozastores.com,Outlook (Microsoft 365)
dlf.in,Outlook (Microsoft 365)
dslrteam.com,Gmail (Google Workspace)
eastendapparels.com,Other/Unknown Platform
essmart-global.com,Gmail (Google Workspace)
expressstores.in,Gmail (Google Workspace)
flyrobe.com,Gmail (Google Workspace)
forummalls.in,Outlook (Microsoft 365)
frontiermkts.com,Gmail (Google Workspace)
globetoyota.com,Domain Not Found or No Email Setup
goldenseams.in,Outlook (Microsoft 365)
geipl.com,Gmail (Google Workspace)
groupindigo.com,Other/Unknown Platform
happimobiles.com,Other/Unknown Platform
healthgenie.in,Other/Unknown Platform
hyvesports.com,Gmail (Google Workspace)
indiansilkhouseagencies.com,Gmail (Google Workspace)
IndiaShoppe.com,Outlook (Microsoft 365)
jammumotors.com,Other/Unknown Platform
jewelexgroup.com,Outlook (Microsoft 365)
kimirica.shop,Gmail (Google Workspace)
kompanero.in,Gmail (Google Workspace)
krishnaallied.com,Outlook (Microsoft 365)
lmce.in,Gmail (Google Workspace)
xpand.co.in,Gmail (Google Workspace)
locodesign.in,Other/Unknown Platform
luluandsky.com,Gmail (Google Workspace)
maamarts.com,Outlook (Microsoft 365)
mahaviracollections.com,Gmail (Google Workspace)
mccoymart.com,Gmail (Google Workspace)
megashopretail.com,Other/Unknown Platform
misschase.com,Gmail (Google Workspace)
modernbazaar.online,Other/Unknown Platform
mokobara.com,Gmail (Google Workspace)
mustardfashion.com,Gmail (Google Workspace)
mystique.co.in,Outlook (Microsoft 365)
naksh.co,Gmail (Google Workspace)
neerus.com,Outlook (Microsoft 365)
nestasia.in,Gmail (Google Workspace)
ndeh.comenindex.html,Domain Not Found or No Email Setup
newme.asia,Gmail (Google Workspace)
okhai.org,Gmail (Google Workspace)
okshan.comokshan,Domain Not Found or No Email Setup
onaya.in,Gmail (Google Workspace)
panoramaexports.co.in,Other/Unknown Platform
penguinapparels.com,Outlook (Microsoft 365)
peppermint.in,Gmail (Google Workspace)
poddardiamonds.com,Gmail (Google Workspace)
powergummies.com,Gmail (Google Workspace)
purpleunited.in,Gmail (Google Workspace)
rangsutra.com,Gmail (Google Workspace)
rareplanet.in,Gmail (Google Workspace)
rareplanet.com,Gmail (Google Workspace)
redwolf.in,Gmail (Google Workspace)
regalshoes.in,Gmail (Google Workspace)
retailez.co.in,Outlook (Microsoft 365)
saadaa.in,Gmail (Google Workspace)
saffronart.com,Gmail (Google Workspace)
safilogroup.com,Other/Unknown Platform
selectcitywalk.com,Outlook (Microsoft 365)
shairugems.net,Gmail (Google Workspace)
shipracommercial.com,Gmail (Google Workspace)
sbil.biz,Other/Unknown Platform
skandhanshi.com,Outlook (Microsoft 365)
snitch.co.in,Gmail (Google Workspace)
bit.ly,Gmail (Google Workspace)
starquik.com,Outlook (Microsoft 365)
sunnydiamonds.com,Gmail (Google Workspace)
lineaitalia.in,Gmail (Google Workspace)
sweetdreams.in,Gmail (Google Workspace)
taffles.com,Outlook (Microsoft 365)
technosport.in,Gmail (Google Workspace)
tenovia.com,Gmail (Google Workspace)
theayurvedaco.com,Outlook (Microsoft 365)
thepurpleturtles.com,Gmail (Google Workspace)
therosegroup.in,Gmail (Google Workspace)
tjori.com,Gmail (Google Workspace)
toolsvilla.com,Gmail (Google Workspace)
torani.in,Gmail (Google Workspace)
ugaoo.com,Gmail (Google Workspace)
voijeans.online,Other/Unknown Platform
westburykommerce.com,Outlook (Microsoft 365)
whindia.in,Other/Unknown Platform
bummer.in,Gmail (Google Workspace)
astaguru.com,Gmail (Google Workspace)
rai.net.in,Outlook (Microsoft 365)
d2cecommerce.in,Gmail (Google Workspace)
modi.com,Other/Unknown Platform
frameskraft.com,Other/Unknown Platform
intercity.co.in,Outlook (Microsoft 365)
macv.in,Gmail (Google Workspace)
artexapparels.com,Gmail (Google Workspace)
samyakk.com,Gmail (Google Workspace)
trico.in,Gmail (Google Workspace)
elahe.in,Gmail (Google Workspace)
adam-exports.com,Outlook (Microsoft 365)
chungathjewellery.com,Gmail (Google Workspace)
ateliermon.com,Outlook (Microsoft 365)
styleplus.in,Other/Unknown Platform
pmplgroup.com,Gmail (Google Workspace)
nextgapex.com,Outlook (Microsoft 365)
rockingdeals.in,Gmail (Google Workspace)
continuumba.com,Outlook (Microsoft 365)
janasya.in,Gmail (Google Workspace)
perforacare.com,Gmail (Google Workspace)
vegnonveg.com,Gmail (Google Workspace)
i2oretail.com,Outlook (Microsoft 365)
olivela.com,Gmail (Google Workspace)
vdbapp.com,Gmail (Google Workspace)
everstylish.com,Other/Unknown Platform
davidbowler.com,Outlook (Microsoft 365)
garderobe.ae,Other/Unknown Platform
sewsewyou.com,Outlook (Microsoft 365)
bomb.ae,Gmail (Google Workspace)
igi.org,Outlook (Microsoft 365)
thejacketmaker.com,Gmail (Google Workspace)
dubaimachines.com,Gmail (Google Workspace)
forreyandgalland.com,Other/Unknown Platform
endurosupply.com,Gmail (Google Workspace)
saffronsouk.com,Other/Unknown Platform
pharmaciaty.com,Gmail (Google Workspace)
mecsc.org,Gmail (Google Workspace)
meenajewellers.com,Gmail (Google Workspace)
conektr.com,Other/Unknown Platform
libsimarkah.com,Gmail (Google Workspace)
siroya.com,Other/Unknown Platform
jackysbrandshop.com,Outlook (Microsoft 365)
arabfashioncouncil.com,Outlook (Microsoft 365)
raseel.gift,Gmail (Google Workspace)
bloomingwear.com,Outlook (Microsoft 365)
annabelleuae.com,Outlook (Microsoft 365)
dolcemondo.ae,Other/Unknown Platform
alromaizan.com,Outlook (Microsoft 365)
altannan.com,Gmail (Google Workspace)
designtex.ae,Other/Unknown Platform
enoclink.ae,Outlook (Microsoft 365)
m2m.ae,Outlook (Microsoft 365)
feathers-fashion.com,Gmail (Google Workspace)
magrudy.com,Outlook (Microsoft 365)
newautofzco.com,Outlook (Microsoft 365)
sbgc.com,Outlook (Microsoft 365)
lfckuwait.com,Outlook (Microsoft 365)
stylishop.com,Gmail (Google Workspace)
tamkeenstores.com.sa,Other/Unknown Platform
samra.com,Outlook (Microsoft 365)
awrostamani.com,Other/Unknown Platform
lagardere-tr.com,Other/Unknown Platform
egolfoutlet.ae,Outlook (Microsoft 365)
g-1.com,Outlook (Microsoft 365)
bawadimall.com,Outlook (Microsoft 365)
ilovelerros.com,Other/Unknown Platform
reefi.me,Gmail (Google Workspace)
dreamuniforms.ae,Outlook (Microsoft 365)
opontia.com,Gmail (Google Workspace)
speedextools.com,Outlook (Microsoft 365)
fnp.ae,Gmail (Google Workspace)
ramlagroup.com,Gmail (Google Workspace)
wbs.ae,Gmail (Google Workspace)
fmart.ae,Other/Unknown Platform
icarabia.com,Outlook (Microsoft 365)
spret-me.com,Gmail (Google Workspace)
vperfumes.com,Gmail (Google Workspace)
alnabooda.com,Other/Unknown Platform
amg.ae,Other/Unknown Platform
emcoop.ae,Outlook (Microsoft 365)
dubaipetfood.com,Outlook (Microsoft 365)
alyousuf.com,Other/Unknown Platform
nice.com.sa,Domain Not Found or No Email Setup
thepetshop.com,Outlook (Microsoft 365)
jazp.com,Other/Unknown Platform
mestores.com,Outlook (Microsoft 365)
Jazp.com,Other/Unknown Platform
dkhoonemirates.com,Outlook (Microsoft 365)
ohanashop.ae,Gmail (Google Workspace)
giordano-me.com,Outlook (Microsoft 365)
SellAnyCar.com,Gmail (Google Workspace)
matjarpanda.com,Outlook (Microsoft 365)
thegivingmovement.com,Other/Unknown Platform
elgrocer.com,Outlook (Microsoft 365)
theluxurycloset.com,Gmail (Google Workspace)
privatecollection.ae,Gmail (Google Workspace)
geniemode.com,Gmail (Google Workspace)
geebeegarments.ae,Outlook (Microsoft 365)
shop.lg.com,Domain Not Found or No Email Setup
unitednaghi.com.sa,Outlook (Microsoft 365)
ecityuae.ae,Other/Unknown Platform
al-essa.me,Outlook (Microsoft 365)
jawahir.sa,Outlook (Microsoft 365)
elfaleh.com,Outlook (Microsoft 365)
brandsco.com,Outlook (Microsoft 365)
interluxury.com,Other/Unknown Platform
almalki.com,Outlook (Microsoft 365)
rubaiyat.com,Outlook (Microsoft 365)
trolley.com.kw,Outlook (Microsoft 365)
etoilegroup.com,Other/Unknown Platform
ghb.sa,Outlook (Microsoft 365)
alhathboor.com,Other/Unknown Platform
al-baker.com,Outlook (Microsoft 365)
dreamdays.ae,Other/Unknown Platform
frontieredu.ae,Outlook (Microsoft 365)
ikonhouse.com,Outlook (Microsoft 365)
amouage.com,Other/Unknown Platform
myride.ae,Gmail (Google Workspace)
sedeer.com,Outlook (Microsoft 365)
recycling-s.com,Other/Unknown Platform
surfaces-me.com,Outlook (Microsoft 365)
technopowergroup.com,Gmail (Google Workspace)
vaidworld.com,Gmail (Google Workspace)
aabtools.com,Other/Unknown Platform
orientals.ae,Outlook (Microsoft 365)
OfficeRock.com,Outlook (Microsoft 365)
kaercher.com,Gmail (Google Workspace)
linenobsession.ae,Outlook (Microsoft 365)
pharmaplus.ae,Other/Unknown Platform
merch.com.qa,Outlook (Microsoft 365)
bhartiyafashion.com,Domain Not Found or No Email Setup
10clubhomes.com,Gmail (Google Workspace)
en-ae.6thstreet.com,Domain Not Found or No Email Setup
91squarefeet.com,Gmail (Google Workspace)
abfrl.com,Other/Unknown Platform
ajantashoes.com,Outlook (Microsoft 365)
coffeeday.com,Outlook (Microsoft 365)
amama.in,Other/Unknown Platform
guazisp.com,Domain Not Found or No Email Setup
ampm.in,Outlook (Microsoft 365)
amrapalijewels.com,Other/Unknown Platform
andamen.com,Outlook (Microsoft 365)
styleanny.in,Gmail (Google Workspace)
apparelgroup.in,Outlook (Microsoft 365)
apparelresources.com,Gmail (Google Workspace)
appario.in,Outlook (Microsoft 365)
aptronixindia.com,Gmail (Google Workspace)
aqualiteindia.com,Outlook (Microsoft 365)
archiesonline.com,Other/Unknown Platform
wearetto.com,Gmail (Google Workspace)
aroka.in,Gmail (Google Workspace)
asianstargroup.com,Gmail (Google Workspace)
myatulya.com,Gmail (Google Workspace)
dmart.in,Gmail (Google Workspace)
dmartindia.com,Gmail (Google Workspace)
azafashions.com,Outlook (Microsoft 365)
stylebaazar.in,Domain Not Found or No Email Setup
baggit.com,Gmail (Google Workspace)
lavieworld.com,Other/Unknown Platform
barista.co.in,Outlook (Microsoft 365)
bata.in,Domain Not Found or No Email Setup
baublebar.com,Gmail (Google Workspace)
bcplindia.com,Gmail (Google Workspace)
beinghumanclothing.com,Other/Unknown Platform
berrylush.com,Gmail (Google Workspace)
bestseller.com,Outlook (Microsoft 365)
bewakoof.com,Gmail (Google Workspace)
beyoung.in,Gmail (Google Workspace)
bhartiya.com,Outlook (Microsoft 365)
bhimajewels.com,Other/Unknown Platform
biba.in,Other/Unknown Platform
kartrocket.com,Gmail (Google Workspace)
bismigroup.com,Gmail (Google Workspace)
blackberrys.com,Outlook (Microsoft 365)
blissclub.com,Gmail (Google Workspace)
bluestardiamonds.com,Outlook (Microsoft 365)
bluestone.com,Gmail (Google Workspace)
bluewud.com,Outlook (Microsoft 365)
bombayshirts.com,Gmail (Google Workspace)
boonbox.com,Other/Unknown Platform
brandconcepts.in,Gmail (Google Workspace)
brandzstorm.com,Other/Unknown Platform
bunaai.com,Outlook (Microsoft 365)
thecaistore.com,Gmail (Google Workspace)
calderys.com,Outlook (Microsoft 365)
candere.com,Gmail (Google Workspace)
caratlane.com,Gmail (Google Workspace)
cat.com,Other/Unknown Platform
cbazaar.com,Gmail (Google Workspace)
celio.in,Domain Not Found or No Email Setup
centrealbazaar.com,Outlook (Microsoft 365)
chanakya.in,Gmail (Google Workspace)
chemmanurinternational.com,Other/Unknown Platform
chumbak.com,Outlook (Microsoft 365)
citistyle.in,Gmail (Google Workspace)
ivend.com,Gmail (Google Workspace)
citymall.live,Gmail (Google Workspace)
cleardekho.com,Gmail (Google Workspace)
clovia.com,Gmail (Google Workspace)
cocoblu.in,Outlook (Microsoft 365)
cococart.in,Domain Not Found or No Email Setup
crossword.in,Gmail (Google Workspace)
ctaapparels.com,Gmail (Google Workspace)
damensch.com,Gmail (Google Workspace)
damsungroup.com,Gmail (Google Workspace)
delhidutyfree.co.in,Outlook (Microsoft 365)
denimsandjeans.com,Gmail (Google Workspace)
derewala.com,Outlook (Microsoft 365)
dimexon.com,Outlook (Microsoft 365)
dressfolk.com,Gmail (Google Workspace)
ecoright.com,Gmail (Google Workspace)
effizentseele.com,Other/Unknown Platform
ellementry.com,Gmail (Google Workspace)
epigamiastore.com,Other/Unknown Platform
eske.in,Gmail (Google Workspace)
afternic.com,Outlook (Microsoft 365)
ethoswatches.com,Gmail (Google Workspace)
exoticindiaart.com,Other/Unknown Platform
faballey.com,Other/Unknown Platform
fabny.com,Outlook (Microsoft 365)
fabindia.com,Other/Unknown Platform
facescanada.com,Gmail (Google Workspace)
fairdeal.market,Gmail (Google Workspace)
falabellaindia.com,Domain Not Found or No Email Setup
fashinza.com,Gmail (Google Workspace)
fibre2fashion.com,Outlook (Microsoft 365)
finestardiamonds.com,Gmail (Google Workspace)
firstcry.com,Outlook (Microsoft 365)
floweraura.com,Gmail (Google Workspace)
fnp.com,Gmail (Google Workspace)
forestessentialsindia.com,Outlook (Microsoft 365)
fossilgroup.com,Gmail (Google Workspace)
freakins.com,Gmail (Google Workspace)
frendy.in,Gmail (Google Workspace)
gimatex.co.in,Gmail (Google Workspace)
gitanjaligroup.com,Domain Not Found or No Email Setup
giva.co,Gmail (Google Workspace)
gocolors.com,Gmail (Google Workspace)
greenhonchos.com,Gmail (Google Workspace)
grouplandmark.in,Other/Unknown Platform
grtjewels.com,Gmail (Google Workspace)
headsupfortails.com,Gmail (Google Workspace)
healthandglow.com,Gmail (Google Workspace)
heelium.in,Gmail (Google Workspace)
hemantandnandita.in,Gmail (Google Workspace)
smollan.com,Outlook (Microsoft 365)
homecentre.in,Gmail (Google Workspace)
genetixbiotech.com,Other/Unknown Platform
srk.one,Domain Not Found or No Email Setup
ibo.com,Outlook (Microsoft 365)
inc5shoes.co.in,Other/Unknown Platform
indianterrain.com,Other/Unknown Platform
industrybuying.com,Gmail (Google Workspace)
inorbit.in,Outlook (Microsoft 365)
interflora.in,Gmail (Google Workspace)
jawedhabib.com,Outlook (Microsoft 365)
jayshreetextiles.com,Gmail (Google Workspace)
jcpindia.jcpcloud.net,Domain Not Found or No Email Setup
joinventures.com,Gmail (Google Workspace)
jokerandwitch.com,Outlook (Microsoft 365)
josalukkasonline.com,Domain Not Found or No Email Setup
jsw.in,Gmail (Google Workspace)
jubilantbhartia.com,Other/Unknown Platform
justdogsstore.com,Gmail (Google Workspace)
kalyanjewellers.net,Gmail (Google Workspace)
kalyansilks.com,Outlook (Microsoft 365)
kamaayurveda.in,Gmail (Google Workspace)
kapsonsgroup.com,Other/Unknown Platform
kazo.com,Outlook (Microsoft 365)
keva.co.in,Gmail (Google Workspace)
kewalkiran.com,Other/Unknown Platform
khivraj.com,Gmail (Google Workspace)
kidbea.com,Other/Unknown Platform
kirtilals.com,Outlook (Microsoft 365)
kisah.in,Outlook (Microsoft 365)
kisna.com,Gmail (Google Workspace)
knyamed.com,Other/Unknown Platform
koovs.com,Gmail (Google Workspace)
kosha.co,Gmail (Google Workspace)
koskii.com,Gmail (Google Workspace)
kushals.com,Gmail (Google Workspace)
cieltextile.com,Other/Unknown Platform
leayan.com,Gmail (Google Workspace)
leinershoes.com,Gmail (Google Workspace)
libas.in,Gmail (Google Workspace)
libertyshoesonline.com,Other/Unknown Platform
lifelongindiaonline.com,Other/Unknown Platform
limeroad.com,Gmail (Google Workspace)
lotuselectronics.com,Outlook (Microsoft 365)
loveinstore.comcontact-us,Domain Not Found or No Email Setup
loveinstore.com,Gmail (Google Workspace)
lovelocal.in,Gmail (Google Workspace)
talent.lowes.com,Domain Not Found or No Email Setup
lowes.co.in,Domain Not Found or No Email Setup
luxuryride.in,Gmail (Google Workspace)
mafclothing.com,Outlook (Microsoft 365)
mahindraforgings.com,Domain Not Found or No Email Setup
mainstreet.co.in,Gmail (Google Workspace)
malabargoldanddiamonds.com,Other/Unknown Platform
manishmalhotra.in,Outlook (Microsoft 365)
manyavar.com,Outlook (Microsoft 365)
marsilexports.com,Outlook (Microsoft 365)
maspar.com,Outlook (Microsoft 365)
materialdepot.in,Gmail (Google Workspace)
meemee.in,Other/Unknown Platform
medkart.in,Outlook (Microsoft 365)
meenucreation.com,Other/Unknown Platform
melorra.com,Outlook (Microsoft 365)
metroatl.in,Outlook (Microsoft 365)
metrobrands.com,Outlook (Microsoft 365)
miraggiolife.com,Gmail (Google Workspace)
monrow.in,Gmail (Google Workspace)
moreretail.in,Gmail (Google Workspace)
mtg.in,Gmail (Google Workspace)
muftijeans.in,Other/Unknown Platform
naaptol.com,Gmail (Google Workspace)
nandilathgmart.com,Other/Unknown Platform
navnitgroup.com,Gmail (Google Workspace)
neemans.com,Gmail (Google Workspace)
nexusmalls.com,Outlook (Microsoft 365)
nicobar.com,Gmail (Google Workspace)
nobero.com,Gmail (Google Workspace)
numerounojeanswear.com,Domain Not Found or No Email Setup
1indiafamilymart.com,Gmail (Google Workspace)
obeetee.in,Domain Not Found or No Email Setup
ogaan.com,Gmail (Google Workspace)
ojuspower.com,Gmail (Google Workspace)
okplay.in,Gmail (Google Workspace)
organicindia.com,Outlook (Microsoft 365)
Orient Craft Limited,Domain Not Found or No Email Setup
ornaz.com,Gmail (Google Workspace)
orra.co.in,Outlook (Microsoft 365)
osiamart.com,Gmail (Google Workspace)
jockey.in,Outlook (Microsoft 365)
paulandfinch.com,Gmail (Google Workspace)
paversengland.com,Outlook (Microsoft 365)
pay1.in,Gmail (Google Workspace)
pdsltd.com,Outlook (Microsoft 365)
pearlglobal.com,Other/Unknown Platform
peel-works.com,Gmail (Google Workspace)
pepejeans.in,Other/Unknown Platform
phonewalestore.com,Outlook (Microsoft 365)
discoverpilgrim.com,Gmail (Google Workspace)
pngjewellers.com,Other/Unknown Platform
power2sme.com,Gmail (Google Workspace)
praxisretail.in,Gmail (Google Workspace)
prayagindia.com,Gmail (Google Workspace)
prolance.co.in,Outlook (Microsoft 365)
purplestylelabs.com,Gmail (Google Workspace)
qua.clothing,Gmail (Google Workspace)
ramachandrantextiles.com,Gmail (Google Workspace)
ratnadeep.com,Outlook (Microsoft 365)
rebelfoods.com,Gmail (Google Workspace)
reclinersindia.com,Gmail (Google Workspace)
redtape.com,Gmail (Google Workspace)
ritukumar.com,Outlook (Microsoft 365)
rentanattire.com,Other/Unknown Platform
theretailinsights.com,Gmail (Google Workspace)
retail-scan.com,Outlook (Microsoft 365)
richaglobal.com,Other/Unknown Platform
richlook.in,Gmail (Google Workspace)
royaloakindia.com,Outlook (Microsoft 365)
rustorange.com,Gmail (Google Workspace)
sprvl.in,Outlook (Microsoft 365)
saffronlifestyle.com,Outlook (Microsoft 365)
sahajcorporate.com,Gmail (Google Workspace)
saicreations.co.in,Gmail (Google Workspace)
kalamandir.com,Gmail (Google Workspace)
saks-india.com,Gmail (Google Workspace)
salty.co.in,Gmail (Google Workspace)
sangeethamobiles.com,Outlook (Microsoft 365)
satkartar.in,Gmail (Google Workspace)
sencogoldanddiamonds.com,Outlook (Microsoft 365)
sharmanudyog.com,Other/Unknown Platform
sheetaljewellery.com,Other/Unknown Platform
showroomb2b.com,Gmail (Google Workspace)
sirohi.org,Gmail (Google Workspace)
sleekworld.com,Outlook (Microsoft 365)
sleepycat.in,Gmail (Google Workspace)
smartdukaan.com,Gmail (Google Workspace)
smoor.in,Outlook (Microsoft 365)
snapbizz.com,Gmail (Google Workspace)
soch.comin,Domain Not Found or No Email Setup
soch.com,Gmail (Google Workspace)
solesearchindia.com,Gmail (Google Workspace)
solethreads.com,Gmail (Google Workspace)
solvezy.com,Outlook (Microsoft 365)
s-p-apparels.com,Other/Unknown Platform
sparindia.org.in,Other/Unknown Platform
springfit.com,Gmail (Google Workspace)
springwel.com,Outlook (Microsoft 365)
spykar.com,Outlook (Microsoft 365)
ssiplgroup.com,Outlook (Microsoft 365)
starbazaarindia.com,Outlook (Microsoft 365)
starbucks.inabout-uscareer-center,Domain Not Found or No Email Setup
starbucks.in,Domain Not Found or No Email Setup
storeking.in,Gmail (Google Workspace)
styched.in,Gmail (Google Workspace)
superhousegroup.com,Other/Unknown Platform
suta.in,Gmail (Google Workspace)
swissbeauty.in,Gmail (Google Workspace)
syngenta.co.in,Domain Not Found or No Email Setup
tbztheoriginal.com,Other/Unknown Platform
wforwoman.comcontentabout-us,Domain Not Found or No Email Setup
texportsyndicate.com,Other/Unknown Platform
thebodyshop.in,Outlook (Microsoft 365)
theloom.in,Gmail (Google Workspace)
thenewshop.in,Gmail (Google Workspace)
pantproject.com,Gmail (Google Workspace)
thesouledstore.com,Gmail (Google Workspace)
trentlimited.com,Domain Not Found or No Email Setup
truebrowns.com,Other/Unknown Platform
tulipcreationsindia.com,Outlook (Microsoft 365)
turtle.in,Gmail (Google Workspace)
ultrafreshindia.com,Gmail (Google Workspace)
world.benetton.com,Domain Not Found or No Email Setup
ww.usplworld.com,Domain Not Found or No Email Setup
urbantribe.in,Gmail (Google Workspace)
vstar.in,Outlook (Microsoft 365)
v2retail.com,Domain Not Found or No Email Setup
vaibhavjewellers.in,Other/Unknown Platform
v-bazaar.com,Gmail (Google Workspace)
vendiman.com,Outlook (Microsoft 365)
vaibhavglobal.com,Outlook (Microsoft 365)
vijaysales.com,Other/Unknown Platform
vilcart.in,Gmail (Google Workspace)
vkcgroup.com,Gmail (Google Workspace)
vmart.co.in,Gmail (Google Workspace)
voylla.com,Gmail (Google Workspace)
vrptelematics.com,Other/Unknown Platform
walkaroo.in,Outlook (Microsoft 365)
walkingtree.co,Gmail (Google Workspace)
wyo.in,Gmail (Google Workspace)
whitehouseworld.com,Gmail (Google Workspace)
williampenn.net,Gmail (Google Workspace)
windsapp.com,Domain Not Found or No Email Setup
wingspharma.com,Gmail (Google Workspace)
winni.in,Gmail (Google Workspace)
mywishcare.com,Other/Unknown Platform
woodlandworldwide.com,Gmail (Google Workspace)
workstore.in,Outlook (Microsoft 365)
buywow.in,Gmail (Google Workspace)
xyxxcrew.com,Gmail (Google Workspace)
ylgindia.com,Other/Unknown Platform
yoshops.com,Other/Unknown Platform
zaamo.co,Gmail (Google Workspace)
zobox.in,Other/Unknown Platform
zouk.co.in,Gmail (Google Workspace)
zyod.com,Gmail (Google Workspace)
beminimalist.co,Gmail (Google Workspace)
economictimes.indiatimes.com,Domain Not Found or No Email Setup
thefreshpress.in,Gmail (Google Workspace)
superk.in,Gmail (Google Workspace)
FirstCry,Domain Not Found or No Email Setup
Spinny,Domain Not Found or No Email Setup
ckcjewellers.com,Gmail (Google Workspace)
enamor.co.in,Outlook (Microsoft 365)
brandstudiolifestyle.com,Gmail (Google Workspace)
rajeshbheda.com,Gmail (Google Workspace)
whiteteak.com,Gmail (Google Workspace)
milaayaembroideries.com,Other/Unknown Platform
sharkshopfits.online,Domain Not Found or No Email Setup
shivanandnarresh.com,Gmail (Google Workspace)
tigc.in,Gmail (Google Workspace)
torerocorp.com,Gmail (Google Workspace)
bharat-enterprises.co.in,Other/Unknown Platform
rajmandirhypermarket.com,Gmail (Google Workspace)
jindalbuttons.com,Gmail (Google Workspace)
bhimagold.com,Outlook (Microsoft 365)
windshieldexperts.com,Outlook (Microsoft 365)
arvindfashions.com,Outlook (Microsoft 365)
arvind.com,Gmail (Google Workspace)
citykart.co.in,Other/Unknown Platform
croma.com,Outlook (Microsoft 365)
decathlon.in,Gmail (Google Workspace)
eshakti.com,Gmail (Google Workspace)
gkboptical.com,Gmail (Google Workspace)
gokaldas.com,Gmail (Google Workspace)
anitadongre.com,Other/Unknown Platform
jaypore.com,Gmail (Google Workspace)
kamajewelry.com,Outlook (Microsoft 365)
khazanajewellery.com,Other/Unknown Platform
lifestylestores.com,Gmail (Google Workspace)
matrixclothing.in,Outlook (Microsoft 365)
novica.com,Gmail (Google Workspace)
quince.com,Other/Unknown Platform
renaissanceglobal.com,Other/Unknown Platform
shahi.co.in,Gmail (Google Workspace)
shoppersstop.com,Other/Unknown Platform
sksispat.com,Other/Unknown Platform
sportstech.de,Outlook (Microsoft 365)
texport.com,Other/Unknown Platform
titancompany.in,Domain Not Found or No Email Setup
vanesa.in,Domain Not Found or No Email Setup
vashiisl.com,Other/Unknown Platform
vmartretail.com,Gmail (Google Workspace)
zivame.com,Gmail (Google Workspace)
zodiaconline.com,Domain Not Found or No Email Setup
allthingsbaby.com,Gmail (Google Workspace)
baaz.live,Gmail (Google Workspace)
houseofchikankari.in,Gmail (Google Workspace)
setu.in,Gmail (Google Workspace)
shoopy.in,Other/Unknown Platform
